statement,value
"Video suggests COVID-19 vaccines are responsible for breast cancer deaths in women under age 45 rising from 26,000 in 2021 to 297,000 in 2023.",0
Video shows Dr. Anthony Fauci getting “confronted on what was exposed about him last night.”,0
“Monkey virus DNA found in COVID-19 shots”,0
“Pfizer funneled $12 million to CNN anchor Anderson Cooper as part of a deal to promote mRNA COVID jabs to the American public.”,0
"Amazon’s “Utopia” TV series predicted the COVID-19 pandemic and an intentional effort to sterilize humans, showing the pandemic was planned.",0
The COVID vaccine “has been proven to have negative efficacy.”,0
"Jamie Foxx tras una coagulación de sangre en el cerebro ""habría quedado ciego y paralizado"" debido a una ""dosis de vacuna contra el coronavirus"".",0
"""The European Union is now warning pregnant women not to get the COVID-19 vaccine due to the possibility of infertility and miscarriage.”",0
"""Si trabajaste en el año 2020 puede ser que te deban muchísimo dinero” a través de un “crédito que está activo hasta ahora”.",0
"""The NEXT pandemic is here and children are the target, says Bill Gates.”",0
Says a report shows that “Ventilators Killed Nearly ALL COVID Patients”,0
COVID-19 vaccines administered during pregnancy drove an increase in cases of myocarditis in babies.,0
“Street lights are connected to mRNA.”,0
“A European study has found COVID vaccines could be causing ‘long-term brain damage.’”,0
Video shows Pfizer agreed to pay $2.3 billion in a health care fraud settlement involving COVID-19 vaccines.,0
Texas Gov. Greg Abbott “cut $211 million in mental health funding.”,0
"Chelsea Clinton said, “It’s time to force-jab every unvaccinated child in America.”",0
“mRNA in food is being tested by USDA now.”,0
U.S. Marine Corps arrested a CDC official.,0
"Simulation with fictional virus shows ‘“what they're preparing for us"" in 2025.",0
Video shows people collapsing because of COVID-19 vaccines.,0
There is “$500 billion of unspent COVID money” that can be rescinded.,1
"""Healthy pilots are suffering from myocarditis and dropping dead on flights” because of the COVID-19 vaccines.",0
"“Face masks may raise risk of stillbirths, testicular dysfunction and cognitive decline, study warns.”",0
“El CEO de Pfizer es un lagarto (demonio)”.,0
Dr. Anthony Fauci “admits that mask mandates were a broad spectrum failure.”,0
Brain aneurysms are a “serious and common COVID-19 mRNA vaccine injury in young people.”,0
The U.S. Department of Defense awarded a contract for COVID-19 research in Ukraine months before the virus was known.,0
The person purporting to be Tiffany Dover is an impostor.,0
There have been no new COVID-19 variants since Dr. Anthony Fauci retired.,0
"A doctor tweeted that she doesn’t regret giving the COVID-19 vaccine, “even if it turns out I injected you with actual poison and you only have days to live.”",0
"Report proves that COVID-19 vaccines caused 300,000 excess deaths in 2022.",0
"Gov. Ron DeSantis sealed ""all beaches"" in Florida.",0
Former President Donald Trump “instructed all the governors to shut down” because of the COVID-19 pandemic.,1
“You can get vaccinated by sleeping with somebody who is already jabbed” with an mRNA vaccine. “It’s called shedding.”,0
Photo shows Magic Johnson donating blood “to help underprivileged communities help fight COVID-19.”,0
“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,0
"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",1
Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,0
Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,0
Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,0
“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,0
"""Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”",0
"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",0
"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",0
"“Because the Covid shots are still manufactured under the Emergency Use Authorization, they can change up to 49% of the ingredients without FDA approval.""",0
Richard Belzer died because of a COVID-19 vaccine.,0
"""Biden admin negotiates deal to give WHO authority over US pandemic policies.”",0
"At the World Economic Forum, Moderna CEO Stéphane Bancel admitted that his company produced 100,000 doses of COVID-19 vaccines in 2019, before the pandemic started.",0
“100% of COVID deaths in Canada now due to mRNA vaccine.”,0
Joe Biden closed schools during the COVID-19 pandemic.,0
"""Unusual cancers” are “exploding right into stage 4"" and those cancer cells have “the spike protein.""",0
“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,0
Diamond and Silk pundit died from COVID-19,0
Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,0
Video shows people collapsing because of COVID-19 vaccines.,0
The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,0
The United Kingdom banned COVID-19 booster vaccines for people under 50.,0
“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,0
"People not vaccinated against COVID-19 “came out the best.""",0
Sudden arrhythmic death syndrome and “stroke season” didn’t exist before the COVID-19 pandemic.,0
Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”,0
The Federal Aviation Administration widened its electrocardiogram parameters for pilots because “a substantial number of airline pilots have had serious heart damage” from COVID-19 vaccines.,0
"""Almost every study now has said with these new boosters, you're more likely to get infected with the bivalent booster.""",0
CNN reported that Damar Hamlin’s doctor confirmed his cardiac arrest was caused by a COVID-19 vaccine booster.,0
"“Americans who worked through the pandemic are being paid up to $26,000 by qualifying for the Employee Retention Credit.”",0
Coronavirus is a Latin word for “heart attack virus.”,0
MMA fighter Victoria Lee died because of a COVID-19 vaccine.,0
"COVID-19 vaccines ""provide zero benefit relative to risk for the young and healthy.""",0
"There have been “1,598 athlete cardiac arrests since Jan 2021. 69% fatal.""",0
Buffalo Bills player Damar Hamlin’s collapse was caused by the COVID-19 vaccine.,0
“The FDA finally came out and said that Pfizer’s COVID shot causes blood clots.”,0
The COVID-19 vaccines were linked to the deaths of 80 Canadian doctors.,0
"There are a record high cases of flu in the U.S. this year, and “last year there were none.”",0
Stephen Boss died because of the COVID-19 vaccine.,0
Pfizer confirmed stiff-person syndrome is an adverse effect of the COVID-19 vaccine.,0
Grant Wahl died because of the COVID-19 vaccine.,0
Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,1
Recent blood clots or strokes in four major athletes are an unwanted effect of COVID-19 vaccines.,0
"Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are “not safe.”",0
"“Since the COVID jabs were rolled out, at least 1.1 million Americans have 'died suddenly.'”",0
Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.,0
“Holiday heart syndrome” is a cover for deaths caused by the COVID-19 vaccine.,0
Video confirms Pfizer’s CEO is “reptilian.”,0
"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",0
Country singer Jake Flint died because of the COVID-19 vaccine.,0
Suggests virologist’s death is linked to COVID-19 vaccines.,0
"Suggests ""108 FIFA registered players/coaches have died"" because of COVID-19 vaccines.",0
The College of Physicians and Surgeons of Ontario suggested “that ‘unvaccinated’ people are mentally ill and in need of psychiatric medication.”,0
Increases in respiratory syncytial virus in children are linked to the COVID-19 vaccine.,0
The World Health Organization director general confirmed “some countries are using boosters to kill children.”,0
The death of a 4-year-old who appeared in vaccination campaign posters is linked to vaccines.,0
"The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”",0
A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,0
Julie Powell died from the COVID-19 vaccine.,0
Bill Gates’ daughters aren’t vaccinated.,0
“Kids are resistant to COVID as opposed to older people.”,1
DJ Mighty Mouse died because of a COVID-19 booster vaccine.,0
“PCR tests used to put luciferase in the brain.”,0
The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,0
"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",0
"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",0
A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”,0
Bodybuilder died from the COVID-19 vaccine.,0
“Millions” of people from International Monetary Fund member countries are at risk of being placed in “COVID camps.”,0
Haitian singer Mikaben died because of the COVID-19 vaccine,0
"“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”",0
“Boston University CREATES a new COVID strain that has an 80% kill rate.”,1
Video shows Dr. Anthony Fauci admitting “he failed Americans during the pandemic when unnecessarily forcing masks.”,0
“Covid vaccinations now prohibited in people under 50 in Denmark.”,0
"Abigail Spanberger supported “nearly $1 billion in stimulus checks for prisoners, including domestic terrorists.”",1
There’s a “coincidental correlation” between COVID-19 vaccines and a spike in cancer in adults younger than 50.,0
Pfizer executive “admits” vaccine was never tested for preventing transmission.,0
A study showed mRNA COVID-19 vaccines are harmful to infants who are breastfeeding.,0
"COVID was ""so bad one year, they just forgot to give us a hurricane? What’s really going on here.”",0
"""Defibrillators are being installed all over” the U.K. after a child’s death, which may be “why the UK suddenly stopped” COVID-19 vaccination for children under 11 years old.",0
The COVID-19 vaccine caused J.J. Watt’s atrial fibrillation.,0
A 1956 video warned about COVID-19.,0
"""Only 325,000 American kids out of 19,000,000"" were vaccinated against COVID-19.",0
A royal guard member collapsed because of the COVID-19 vaccine.,0
Queen Elizabeth died because of the COVID-19 vaccine.,0
The National Institutes of Health “adds ivermectin to list of COVID approved treatments.”,0
The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,0
Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,0
“Nearly half of pregnant women in Pfizer trial miscarried.”,0
"""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",0
"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",0
"In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”",0
A New England Journal of Medicine study found that vaccinated people are “5X more contagious than the unvaccinated 10 days after SARS-CoV-2 infection.”,0
COVID-19 vaccines are responsible for the health problems featured in recent news reports.,0
"""We are number one in the country as far as our spending (COVID-19 relief) money on businesses as it relates to the percentage of federal funds that we receive.""",1
"The COVID-19 vaccine caused Ashton Kutcher to lose “vision, hearing and ability to walk.”",0
"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",0
"“Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",0
"Dr. Birx ""changes tune on"" COVID-19 vaccines and ""admits vaccines don't work.""",0
Raphael Warnock and Catherine Cortez Masto “voted to allow hundreds of millions of dollars of COVID relief funds to be squandered” on leisure projects.,1
Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,0
“Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.,0
George Floyd and COVID-19 “never existed.”,0
"Shinzo Abe was assassinated because he “didn’t mandate vaccines, sent 1.6 million doses back and gave citizens ivermectin.”",0
"According to International Olympic Committee data, “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.""",0
Ray Liotta died because of the COVID-19 vaccine.,0
There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,0
"They passed the flu off as COVID-19, and “they’re going to do the same thing with monkeypox and shingles.”",0
“Swedish health authorities considering introducing restrictions because of monkeypox outbreak.”,0
Says Fox News and Candace Owens tweeted that “New studies show that 68% of those who used ivermectin to treat or prevent covid are suffering long-term bowel and urinary incontinence.”,0
"“(Pfizer) says do not breastfeed. Baby formula shortages everywhere. Gates promotes brand new artificial breast milk technology. All within less than a 2 week period. …Nothing to see here.""",0
“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,0
“Breaking: Democrats introduce bill to put Americans in quarantine camps.”,0
“When President Biden took office … there was no vaccine available.”,0
“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,0
“mRNA Vaccines Show No Mortality Benefit - Danish Study”,0
"""Pfizer tries to hide 2.4K full-time hires handling vax injuries.""",0
Hepatitis outbreak in kids may be related to Johnson & Johnson COVID-19 vaccine.,0
Dr. Anthony Fauci said lockdowns are a method for coercing people to comply with COVID-19 vaccinations.,0
"Joe Biden's spending “has sent prices skyrocketing.""",1
The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,0
"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”",0
Suggests ivermectin is an effective treatment for COVID-19,0
Gilbert Gottfried died from the COVID-19 vaccine.,0
The COVID-19 vaccines contain “HIV lipid wrappers.”,0
"As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”",0
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,0
"Gov. Kathy Hochul’s “record” includes “firing” 34,000 health care workers.",1
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,0
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,0
"Says Gov. Tony Evers gave $2.4 million in COVID relief money to Planned Parenthood affiliates throughout Wisconsin “to bail them out and fund abortions.""",0
"""Documents were published confirming Moderna created the COVID-19 Virus.”",0
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,0
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,0
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.",0
"At the start of the COVID-19 pandemic, Judge Ketanji Brown Jackson advocated that “each and every criminal defendant in D.C. Corrections custody should be released.”",0
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""",0
“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,1
“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,0
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,0
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,0
Wearing masks is “COVID theater” and “not doing anything.”,0
“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,0
"There are now zero students, staff or anyone “related to the school system” in Union County” hospitalized with COVID-19, despite harsh criticism of school COVID policy.",1
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”",0
"Gov. Tony Evers has “only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.”",1
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,0
"Luc Montagnier's death is linked to his ""exposing"" that there's HIV in the COVID-19 vaccine.",0
“Only 16% Of Canadians Would SUPPORT Trudeau After Trucker Protest!”,0
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,0
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,0
"""There is absolutely no observed or clinical data that indicates any benefit whatsoever to masking K-12 students in schools.""",0
“Airline CEO gets pied for forcing vaccinations”,0
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”",0
Says the FDA said that Pfizer “falsely misled” the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,0
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”",0
"Map shows states where “all of the children… are back to living mask-free, normal lives.”",0
"Says that President Joe Biden said Americans will start seeing “direct deposits in their bank accounts this weekend,” and that Medicare recipients will get back $2,880.",0
"""According to Congress, travel nurses need a pay cap.”",0
"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD.""",1
"""Study proves children’s hearts destroyed by COVID vaccine.""",0
"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""",0
"Pfizer is ""literally using the force of government and the culture of fear to jab children under 5 — with zero basis in science — to make billions of dollars.""",0
The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,0
“The second booster has eight strains of HIV.”,0
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,0
"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.",0
“We all know China created COVID.”,0
Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,0
"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”",0
“A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state.”,1
Requesting a chargeback is “a better way to get back at” GoFundMe.,0
"“A grand jury trial begins into crimes against humanity"" involving a fabricated coronavirus pandemic.",0
Says remdesivir is responsible for killing patients hospitalized with COVID-19.,0
"""In Joe Biden’s America, your children are more likely to have access to a crack pipe than a mask-free education.""",0
"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”",0
Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,0
“Embalmers finding ‘strange clots’ in jabbed people”,0
"Clips of Dr. Anthony Fauci show he “flip-flopped” on guidance for wearing masks, whether kids should be in school and whether people should change how they interact.",0
“Fifty percent of the Ottawa police force have all turned in their resignation.”,0
The federal government requires “COVID passports to visit the movies.”,0
Joe Biden gave his used face mask to Stephen Breyer.,0
“Governor Kate Brown wants to make Oregon’s mask mandate PERMANENT.”,1
"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”",0
Binding masks to your face with gauze and wrapping pantyhose around your face and mask are now “suggestions to make your mask more ‘effective.’”,1
"Ron DeSantis let ""millions of COVID-19 tests expire.""",0
"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”",0
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”",0
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,0
‘The Simpsons’ predicted Canada’s trucker convoy protest.,0
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,0
Picture shows the “Freedom Convoy” trucks in Canada.,0
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”",0
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,0
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,0
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.",0
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,0
"In the U.S., myocarditis cases among ages 12 to 20 numbered four in 2019; four in 2020; and 2,236 in 2021.",0
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”",0
"“Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.”",0
"“Biden won’t allow Delta-variant COVID patients to get proven and effective monoclonal treatments even though there are 50,000-100,000 Americans infected by Delta EVERY DAY.”",0
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.",0
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,0
“National Guard doctors find hospitals empty of COVID patients.”,0
"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”",0
“The CDC admits that natural immunity from prior infections is superior to vaccinated immunity alone.”,0
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""",0
Image from news broadcast shows a hospital in France trying to pass off a mannequin as a COVID-19 patient.,0
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.",0
President Joe Biden gave Congress an exemption from vaccine mandate,0
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,0
"""Total deaths from COVID MUCH LOWER than reported.”",0
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",0
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,0
"Estimated annual COVID-19 deaths in the U.S. totals 27,530, after you subtract those who died “with, not from” COVID-19, not in nursing homes and who didn't have four or more comorbidities.",0
“Moderna COVID vaccine is no longer recommended due to heart inflammation.”,0
Four players have dropped out of the Australian Open with “chest pains.”,0
"Omicron is “the fastest-spreading virus known to humankind.""",1
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,0
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,0
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""",0
Carlos Gimenez “wants a national database to track you and discriminate against you.”,0
"""Mask mandates on children lead to learning loss that harms early childhood development.""",0
Video shows Alexandria Ocasio-Cortez pouring shots for a group of people “days before testing positive” for COVID-19.,0
"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",1
"Says Pfizer CEO Albert Bourla said: “Two doses of the vaccine offers very limited protection, if any.”",0
“Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated”,1
Video shows Rafael Nadal and Roger Federer laughing at Novak Djokovic after he was stuck in an Australian airport.,0
“The CDC director just said that 75% of ‘Covid deaths’ occurred in people with at least four comorbidities.”,0
"""Japan drops all vaxxine mandates, places myocarditis warning on label.""",0
"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",1
Washington’s State Board of Health will discuss mandatory COVID-19 quarantines and vaccine requirements for schoolchildren at a Jan. 12 meeting.,0
"Walgreens refrigerators are scanning shoppers’ hands and foreheads for “the mark of the beast,” and that “if you don’t have the mark later on, you won’t be able to buy.”",0
“New Zealand okays euthanasia for COVID patients.”,0
"""Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.""",0
Says Bob Saget died from the COVID-19 vaccine.,0
"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.",0
“No one has been hospitalized for” the omicron variant of COVID-19.,0
“Data from around the world suggests that omicron favors the fully vaccinated.”,0
"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”",0
"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",0
"""Half a million sharks could be killed to make the COVID-19 vaccine.""",0
